Timestamp,dX,dY,X,Y
11:25:08.143904,1,1,1,1
11:25:11.973883,-3,1,-2,2
11:25:12.940525,-2,1,-4,3
11:25:12.948525,-1,1,-5,4
11:25:12.960974,-2,2,-7,6
11:25:12.968963,-2,1,-9,7
11:25:12.981532,-2,2,-11,9
11:25:12.989566,-2,2,-13,11
11:25:13.001940,-1,1,-14,12
11:25:13.009966,-1,1,-15,13
11:25:13.022529,-1,2,-16,15
11:25:13.043031,-6,6,-22,21
11:25:13.063605,-3,2,-25,23
11:25:13.075564,-2,3,-27,26
11:25:13.083982,-1,2,-28,28
11:25:13.095977,-2,2,-30,30
11:25:13.104551,-1,3,-31,33
11:25:13.116547,-1,3,-32,36
11:25:13.124625,-2,3,-34,39
11:25:13.136967,-1,2,-35,41
11:25:13.149546,-1,3,-36,44
11:25:13.157560,-2,3,-38,47
11:25:13.169956,-1,3,-39,50
11:25:13.177976,0,3,-39,53
11:25:13.190543,-1,5,-40,58
11:25:13.198697,-1,4,-41,62
11:25:13.210654,0,4,-41,66
11:25:13.219082,0,3,-41,69
11:25:13.231610,0,4,-41,73
11:25:13.239611,0,4,-41,77
11:25:13.251606,1,3,-40,80
11:25:13.260010,0,3,-40,83
11:25:13.272572,0,3,-40,86
11:25:13.284586,1,2,-39,88
11:25:13.292595,0,2,-39,90
11:25:13.304978,0,1,-39,91
11:25:13.312994,0,1,-39,92
11:25:13.325600,0,2,-39,94
11:25:13.333562,0,1,-39,95
11:25:13.346021,0,2,-39,97
11:25:13.358588,1,2,-38,99
11:25:13.366563,0,2,-38,101
11:25:13.378562,1,4,-37,105
11:25:13.386989,0,3,-37,108
11:25:13.399009,0,5,-37,113
11:25:13.407597,1,5,-36,118
11:25:13.419581,1,5,-35,123
11:25:13.428003,2,4,-33,127
11:25:13.440015,2,5,-31,132
11:25:13.452571,2,5,-29,137
11:25:13.460585,2,5,-27,142
11:25:13.472998,3,5,-24,147
11:25:13.481033,3,4,-21,151
